WEO,IAMC,Unit_WEO,Unit_IAMC,Conversion,Comment
Activity of stock-Total-International marine bunkers,Energy Service|Transport|Freight|Maritime,Billion tonne-km,billion tkm,1,
Activity of stock-Total-Road heavy-duty trucks,Energy Service|Transport|Freight|Road|Trucks,Billion tonne-km,billion tkm,1,
Activity of stock-Total-Road passenger light duty vehicle,Energy Service|Transport|Passenger|Road|LDV,Billion passenger-km,billion pkm,1,
Activity of stock-Total-Total aviation (domestic and bunkers),Energy Service|Transport|Passenger|Aviation,Billion passenger-km,billion pkm,1,
Capacity: installed-Battery storage-Electrical capacity,Capacity|Electricity|Storage|Battery,GW,GW,1,
Capacity: installed-Bioenergy: with CCUS-Electrical capacity,Capacity|Electricity|Biomass|w/ CC,GW,GW,1,
Capacity: installed-Coal: unabated-Electrical capacity,Capacity|Electricity|Coal|w/o CC,GW,GW,1,total coal via summation
Capacity: installed-Coal: with CCUS-Electrical capacity,Capacity|Electricity|Coal|w/ CC,GW,GW,1,
Capacity: installed-Concentrating solar power-Electrical capacity,Capacity|Electricity|Solar|CSP,GW,GW,1,total solar via summation
Capacity: installed-Fossil fuels: unabated-Electrical capacity,Capacity|Electricity|Fossil|w/o CC,GW,GW,1,total fossil via summation
Capacity: installed-Fossil fuels: with CCUS-Electrical capacity,Capacity|Electricity|Fossil|w/ CC,GW,GW,1,
Capacity: installed-Geothermal-Electrical capacity,Capacity|Electricity|Geothermal,GW,GW,1,
Capacity: installed-Hydro-Electrical capacity,Capacity|Electricity|Hydro,GW,GW,1,
Capacity: installed-Hydrogen and H2-based fuels-Electrical capacity,Capacity|Electricity|Hydrogen,GW,GW,1,
Capacity: installed-Marine-Electrical capacity,,,,,
Capacity: installed-Modern bioenergy and renewable waste-Electrical capacity,Capacity|Electricity|Biomass,GW,GW,1,
Capacity: installed-Natural gas: unabated-Electrical capacity,Capacity|Electricity|Gas|w/o CC,GW,GW,1,
Capacity: installed-Natural Gas: with CCUS-Electrical capacity,Capacity|Electricity|Gas|w/ CC,GW,GW,1,total gas via summation
Capacity: installed-Nuclear-Electrical capacity,Capacity|Electricity|Nuclear,GW,GW,1,
Capacity: installed-Oil products-Electrical capacity,Capacity|Electricity|Oil,GW,GW,1,
Capacity: installed-Oil-Electrical capacity,,,,,
