WEO,IAMC,Unit_WEO,Unit_IAMC,Conversion,Comment
Energy-Biomethane-Total final consumption,,,,,
Energy-Biomethane-Transport,,,,,
Energy-Coal-Buildings,Final Energy|Residential and Commercial|Solids|Coal,EJ,EJ/yr,1,
Energy-Coal-Electricity generation,Secondary Energy|Electricity|Coal,TWh,EJ/yr,0.0036,
Energy-Coal-Production,,,,,
Energy-Coal-Total energy supply,Primary Energy|Coal,Million tonnes of coal equivalent,EJ/yr,0.025,assumption: 1EJ = 40 million tonnes of hard coal
Energy-Coal-Total final consumption,Final Energy|Solids|Coal,EJ,EJ/yr,1,
Energy-Coal: unabated-Electricity generation,Secondary Energy|Electricity|Coal|w/o CCS,TWh,EJ/yr,0.0036,
Energy-Coal: unabated-Industry,,,,,
Energy-Coal: unabated-Power sector inputs,Primary Energy|Coal|Electricity,EJ,EJ/yr,1,
Energy-Coal: unabated-Total energy supply,,,,,
Energy-Coal: with CCUS-Electricity generation,Secondary Energy|Electricity|Coal|w/ CCS,TWh,EJ/yr,0.0036,
Energy-Coal: with CCUS-Industry,,,,,
Energy-Coal: with CCUS-Power sector inputs,Primary Energy|Coal|Electricity|w/ CCS,EJ,EJ/yr,1,
Energy-Coal: with CCUS-Total energy supply,,,,,
Energy-Coalbed methane-Production,,,,,
Energy-Coking coal-Production,,,,,
Energy-Concentrating solar power-Electricity generation,Secondary Energy|Electricity|Solar|CSP,TWh,EJ/yr,0.0036,
Energy-Conventional crude oil-Production,,,,,
Energy-Conventional gas-Production,,,,,
"Energy-CTL, GTL and additives-Total energy supply",,,,,
Energy-Diesel-Total energy supply,,,,,
Energy-Direct use of crude oil-Total energy supply,,,,,
Energy-District heat-Buildings,Final Energy|Residential and Commercial|Heat,EJ,EJ/yr,1,
Energy-District heat-Industry,,,,,
Energy-District heat-Total final consumption,Final Energy|Heat,EJ,EJ/yr,1,
Energy-Electricity-Buildings,Final Energy|Residential and Commercial|Electricity,EJ,EJ/yr,1,
Energy-Electricity-Industry,Final Energy|Industry|Electricity,EJ,EJ/yr,1,
Energy-Electricity-Total final consumption,Final Energy|Electricity,EJ,EJ/yr,1,
Energy-Electricity-Transport,Final Energy|Transportation|Electricity,EJ,EJ/yr,1,
Energy-Extra-heavy oil and bitumen-Production,,,,,
Energy-Fossil fuels: unabated-Electricity generation,Secondary Energy|Electricity|Fossil|w/o CCS,TWh,EJ/yr,0.0036,
Energy-Fossil fuels: with CCUS-Electricity generation,Secondary Energy|Electricity|Fossil|w/ CCS,TWh,EJ/yr,0.0036,
Energy-Fuel oil-Total energy supply,,,,,
Energy-Gasoline-Total energy supply,,,,,
Energy-Geothermal-Electricity generation,Secondary Energy|Electricity|Geothermal,TWh,EJ/yr,0.0036,
Energy-Hydro-Electricity generation,Secondary Energy|Electricity|Hydro,TWh,EJ/yr,0.0036,
Energy-Hydro-Power sector inputs,,,,,
Energy-Hydro-Total energy supply,Primary Energy|Hydro,EJ,EJ/yr,1,
Energy-Hydrogen-Bioenergy and other,,,,,
Energy-Hydrogen-Buildings,Final Energy|Residential and Commercial|Hydrogen,EJ,EJ/yr,1,
Energy-Hydrogen (incl onsite)-Final demand,Final Energy|Hydrogen,PJ,EJ/yr,0.001,
Energy-Hydrogen-Fossil fuels with CCUS,Secondary Energy|Hydrogen|Fossil|w/ CCS,EJ,EJ/yr,1,
Energy-Hydrogen-Hydrogen demand for end-use sectors,,,,,
Energy-Hydrogen-In oil refining,,,,,
Energy-Hydrogen-Industry,Final Energy|Industry|Hydrogen,EJ,EJ/yr,1,
Energy-Hydrogen (incl onsite)-International bunkers,Final Energy|Bunkers|Hydrogen,EJ,EJ/yr,1,
Energy-Hydrogen-Low-emissions hydrogen-based fuels,,,,,
Energy-Hydrogen-Low-emissions hydrogen production,,,,,
Energy-Hydrogen-Power generation,Secondary Energy|Electricity|Hydrogen,TWh,EJ/yr,0.0036,
Energy-Hydrogen-Power sector inputs,Secondary Energy|Input|Hydrogen|Electricity,EJ,EJ/yr,1,
Energy-Hydrogen-To biofuels,,,,,
Energy-Hydrogen-To hydrogen-based fuels,,,,,
Energy-Hydrogen-To power generation,,,,,
Energy-Hydrogen-Total final consumption,,,,,
Energy-Hydrogen-Trade,,,,,
Energy-Hydrogen-Trade as share of demand,,,,,
Energy-Hydrogen-Transformation of hydrogen,,,,,
