sector,var1,var2,var3,var4,var5
2A1_Cement-production,Industrial Processes,,Industrial Processes|Cement,,
2A2_Lime-production,Industrial Processes,,Industrial Processes|Cement,,
2Ax_Other-minerals,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Non-Metallic Minerals,
2B_Chemical-industry,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Chemicals,
2B2_Chemicals-Nitric-acid,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Chemicals,
2B3_Chemicals-Adipic-acid,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Chemicals,
2C1_Iron-steel-alloy-prod,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Iron and Steel,
2C3_Aluminum-production,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Non-Ferrous Metals,Energy|Demand|Industry|Non-Ferrous Metals|Aluminum
2C4_Non-Ferrous-other-metals,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Non-Ferrous Metals,
2D_Chemical-products-manufacture-processing,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Chemicals,
2D_Degreasing-Cleaning,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Chemicals,
2D_Other-product-use,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Chemicals,
2D_Paint-application,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Chemicals,
2H_Pulp-and-paper-food-beverage-wood,Energy,Energy|Demand,Energy|Demand|Industry,Energy|Demand|Industry|Other Sector,
3B_Manure-management,AFOLU|Agriculture,AFOLU|Agriculture|Livestock|Manure Management,,,
3D_Rice-Cultivation,AFOLU|Agriculture,AFOLU|Agriculture|Rice,,,
3D_Soil-emissions,AFOLU|Agriculture,AFOLU|Agriculture|Managed Soils,,,
3E_Enteric-fermentation,AFOLU|Agriculture,AFOLU|Agriculture|Livestock|Enteric Fermentation,,,
3I_Agriculture-other,AFOLU|Agriculture,AFOLU|Agriculture|Other,,,
5A_Solid-waste-disposal,Waste,Waste|Solid Waste,,,
5C_Waste-combustion,Waste,Waste|Other,,,
5D_Wastewater-handling,Waste,Waste|Wastewater,,,
5E_Other-waste-handling,Waste,Waste|Other,,,
6A_Other-in-total,Other,,,,
6B_Other-not-in-total,Other,,,,
7A_Fossil-fuel-fires,AFOLU,AFOLU|Land,,,
7BC_Indirect-N2O-non-agricultural-N,AFOLU,AFOLU|Land,,,
1A3ai_International-aviation,Energy,Energy|Demand,Transportation,,
1A3aii_Domestic-aviation,Energy,Energy|Demand,Transportation,,
1A3di_International-shipping,Energy,Energy|Demand,Transportation,,
